"account_catalog_id","number","name","description","control_account","is_control","is_transaction","status_type","created_by","created_date","last_modified_by","last_modified_date","balance","outlet_id"
"cef61797-b0c3-46d1-b8c5-69923de4f015","2299","OTROS/PROVISION PARA CUENTAS INCOBRABLES","Cuenta Otros/Provision para Cuentas Incobrables","a1960ec7-3119-4969-84d4-38e7803f0385",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.9","k.guzman","2021-02-01 17:26:03.9","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"592dca40-2fb4-4a3f-9c85-970c9b5f9add","23","RETENCIONES POR PAGAR","Cuenta Control Retenciones Por pagar","a1960ec7-3119-4969-84d4-38e7803f0385",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.901","k.guzman","2021-02-01 17:26:03.901","21341.62","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"04bd351a-6653-4d1a-99b1-ab0b934261e3","2301","IMPUESTO SOBRE LA RENTA LEY 11-92","Cuenta Impuesto dobre la Renta Ley 11-92 - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.902","k.guzman","2021-02-01 17:26:03.902","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"19fcf0b1-63bf-4487-bb47-a6271efae76a","2302","RETENCION POR SERV.INDEPENDIENTE","Cuenta Retencion por Serv. Independiente - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.904","k.guzman","2021-02-01 17:26:03.904","1350.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"9f43e0cd-fbd5-41e8-aa5b-6b74227308fe","2303","RETENCION INTE.PAGADOS A PERSONAS FISICAS","Cuenta Retencion Inte.Pagados a Personas Fisicas - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.905","k.guzman","2021-02-01 17:26:03.905","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"9c0bef95-315d-4110-a40d-0ee70140ca71","2304","PLAN DE PENSION Y JUBILACION","Cuenta Plan de Pension y Jubilacion - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.906","k.guzman","2021-02-01 17:26:03.906","-2009.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"93d729d3-ac0d-42e5-8e0f-86d53feb8a76","2305","SEGURO FAMILIAR DE SALUD"," Cuenta Seguro Familiar de Salud - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.907","k.guzman","2021-02-01 17:26:03.907","-2128.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"b055b5a4-67ec-41b8-90aa-d65d95c50904","2306","RIESGO LABORAL","Cuenta Reisgo Laboral - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.908","k.guzman","2021-02-01 17:26:03.908","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"203dd10c-788d-4d6e-bc27-1b5670b73827","2307","RETENCION ITBIS","Cuenta Retencion ITBIS - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.909","k.guzman","2021-02-01 17:26:03.909","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"9e2d771d-21a6-4140-baba-a797aee91ef1","2308","IMPUESTO SOBRE LA RENTA (DECLARACION ANUAL)","Cuenta Impuesto Sobre la Renta (Declaracion Anual) - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.91","k.guzman","2021-02-01 17:26:03.91","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"242fce9e-9282-41e5-9529-76a5f9f2ea50","2309","IMPUESTOS SOBRE LOS ACTIVOS","Cuenta Impuestos sobre los Activos - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.911","k.guzman","2021-02-01 17:26:03.911","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"50f3b468-9894-4155-88e8-217bc40c1746","2310","ANTICIPO POR PAGAR","Cuenta Anticipo por Pagar - Cuenta Control Retenciones Por pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.903","k.guzman","2021-02-01 17:26:03.903","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"fd365319-3e22-424f-ac0c-5e34a9dd4a7a","2311","INFOTEP POR PAGAR","Cuenta Infotep Por Pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.853","k.guzman","2021-02-01 17:26:03.853","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"a01da759-64e4-4d41-b613-4482a2701e9b","24","OTRAS CUENTAS POR PAGAR","Cuenta Control Otras cuentas por Pagar","592dca40-2fb4-4a3f-9c85-970c9b5f9add",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.912","k.guzman","2021-02-01 17:26:03.912","21341.62","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"1e26b88b-e0b8-42c4-b12d-74fae695b4c9","2401","INTERESES GANADOS NO COBRADOS","Cuenta Intereses Ganados no Cobrados - Cuenta Control Otras cuentas por Pagar","a01da759-64e4-4d41-b613-4482a2701e9b",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.913","k.guzman","2021-02-01 17:26:03.913","41341.62","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"cb06e761-3471-422c-b5c0-18e05860e487","3","CAPITAL","Cuenta Control Capital",NULL,True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.916","k.guzman","2021-02-01 17:26:03.916","200000.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"fcd80a3c-233f-41b7-b7c4-8fc29006308e","31","CAPITAL AUTORIZADO","Cuenta Capital Autorizado - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.917","k.guzman","2021-02-01 17:26:03.917","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"05f549a3-018e-4d8c-8a73-97f1b620899e","32","CAPITAL SUSCRITO Y PAGADO","Cuenta Capital Suscrito y pagado - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.918","k.guzman","2021-02-01 17:26:03.918","200000.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"c75d654e-606f-4396-b4ea-9ca7aa7d6901","33","ACCIONES NO EMITIDAS","Cuenta Acciones no Emitidas - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.919","k.guzman","2021-02-01 17:26:03.919","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"16a9c713-e122-4852-8dde-21abea248b6d","34","RESUMEN DE GANANCIAS O PERDIDAS","Cuenta Resumen de Ganancias o Perdidas - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.92","k.guzman","2021-02-01 17:26:03.92","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"401b68a9-6615-4c28-ad9a-abc5c68ebcf5","35","AJUSTES AÑOS ANTERIORES","Cuenta Ajustes aÃ±os Anteriores - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.921","k.guzman","2021-02-01 17:26:03.921","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"94d59103-bfb9-4f34-8e1d-df9fe83803a3","3501","AJUSTES DE IMPUESTOS","Cuenta Ajustes de Impuestos - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.923","k.guzman","2021-02-01 17:26:03.923","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"6f0be2f0-3dbd-4c71-9c1e-90cba1276aa8","3502","AJUSTE PARTICIPACION DE BENEFICIOS","Cuenta Ajuste Participacion de Beneficios - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.927","k.guzman","2021-02-01 17:26:03.927","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"b6cd126b-fe4c-487c-adc8-4bc63e185498","3503","REVALUACION DE ACTIVOS","Cuenta Revaluacion de Activos - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.929","k.guzman","2021-02-01 17:26:03.929","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"3f9dc605-8afb-40fe-bed9-c20583c850c8","3599","OTROS AJUSTES","Cuenta Otros Ajustes - Cuenta Control Capital","cb06e761-3471-422c-b5c0-18e05860e487",False,False,"ENABLED","k.guzman","2021-02-01 17:26:03.931","k.guzman","2021-02-01 17:26:03.931","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
"139c7b80-1f84-4fa0-9ddf-5a2a5caf35f9","36","RESERVA","Cuenta control Reserva","cb06e761-3471-422c-b5c0-18e05860e487",True,False,"ENABLED","k.guzman","2021-02-01 17:26:03.922","k.guzman","2021-02-01 17:26:03.922","0.00","4a812a14-f46d-4a99-8d88-c1f14ea419f4"
